param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_tfidf__max_features,param_tfidf__ngram_range,val_F1,val_F1_std,rank
,log2,2,11,645,5000,"(1, 2)",0.9638372427727919,0.0019961150660514986,1
80,sqrt,5,10,466,10000,"(1, 2)",0.9615272741115698,0.002371290572179324,2
60,sqrt,3,9,1000,5000,"(1, 1)",0.9599432688990877,0.001703927914110272,3
60,log2,4,8,727,5000,"(1, 2)",0.9422114201738214,0.002314436217556525,4
80,log2,1,2,774,20000,"(1, 1)",0.9238400040448103,0.003705922323559982,5
40,log2,1,5,861,10000,"(1, 2)",0.9223265236477598,0.0028033195470849918,6
20,sqrt,3,12,387,5000,"(1, 2)",0.9219820639589521,0.0031770081133859823,7
40,log2,5,3,643,10000,"(1, 2)",0.917065241974963,0.002693836718518058,8
20,log2,4,4,866,5000,"(1, 1)",0.8998934685859062,0.003068241730040855,9
20,log2,4,6,460,10000,"(1, 2)",0.8928900790035282,0.002696171183256059,10
