param_clf__C,param_clf__kernel,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,param_clf__gamma,val_F1,val_F1_std,rank
897.9855655182433,rbf,10000,2,"(1, 1)",scale,0.9781522208723563,0.001868982272466484,1
3.8115440886530614,linear,10000,5,"(1, 1)",,0.9712229761663554,0.001625322621412476,2
5.132347525675519,linear,20000,1,"(1, 1)",,0.9711535024206933,0.00150530738883899,3
60.15308718396453,linear,20000,5,"(1, 2)",,0.9707781849737499,0.0006598614428870976,4
0.5694995061301531,linear,5000,5,"(1, 2)",,0.9706543651167461,0.0012730224547520042,5
493.52962094021007,rbf,10000,2,"(1, 2)",auto,0.9689568689503417,0.0018532159651250932,6
4.418441521199722,linear,5000,1,"(1, 1)",,0.9681973804641503,0.0016237378138917024,7
659.871107205407,linear,10000,2,"(1, 2)",,0.9653312739747877,0.0014660848508252357,8
0.05660670699258887,rbf,20000,2,"(1, 2)",auto,0.6885413610374774,1.3043767613929446e-05,9
0.001375227506427874,rbf,20000,5,"(1, 2)",scale,0.6885413610374774,1.3043767613929446e-05,9
