hidden_size,dropout,lr,pretrain_epochs,finetune_epochs,loss_weight_cls,batch_size,max_len,trial_number,val_F1,best_epoch,status
64,0.4847923138822793,0.0003550304858128307,8,8,1.3968499682166278,8,300,4,0.9612501993302504,8,ok
128,0.36599697090570255,0.00015751320499779721,3,3,0.5871254182522991,8,300,0,0.8791853109088104,3,ok
128,0.35342867192380856,0.0002870875348195468,7,3,1.0376985928164089,16,200,6,0.8351648351648352,3,ok
64,0.34211651325607845,7.591104805282687e-05,3,5,0.5515827816728276,8,300,3,0.8189407023603915,4,ok
128,0.36480308916903204,0.00018841476921545086,8,5,0.6793913689074526,16,200,7,0.8154010044133313,1,ok
128,0.09983689107917987,0.00010677482709481354,6,3,1.4113172778521577,32,200,2,0.775906261442695,3,ok
64,0.09091248360355031,2.3270677083837777e-05,4,6,1.1479175279631737,16,300,1,0.742995951417004,3,ok
64,0.41436875457596467,5.170191786366994e-05,4,6,0.711386337462144,32,200,5,0.7397550279752003,2,ok
64,0.144875726456884,2.101079931010355e-05,8,7,1.4501056347656351,8,200,9,0.7391445236552171,3,ok
64,0.012709563372047594,1.6435497475111308e-05,3,6,0.97153397161449,16,300,8,0.7175572519083969,5,ok
