embedding_dim,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,max_len,max_epochs,trial_number,val_F1,best_epoch
300,256,1,0.5693313223519999,0.00403842379807156,0.00011015056790269616,64,500,6,1,0.9797201697846251,6
100,128,1,0.06952143571507782,0.00213545417892913,1.3076473382928529e-05,16,400,7,3,0.9767147156660858,7
200,64,1,0.012350696577481468,0.0041472250004816365,0.00014528246637516033,128,500,4,0,0.9615200383202938,4
200,128,3,0.009952697356713692,0.00024105925153067697,1.3566845397879223e-07,64,200,8,7,0.9200652528548124,8
100,128,1,0.44789484307081445,0.0005666823788727795,0.0001762451003968553,16,400,6,9,0.8730314960629921,5
300,128,3,0.188613588645796,0.00023583976885932132,0.00034501054536130194,64,500,6,4,0.8401781296387927,6
300,64,2,0.2034178746292204,8.760041570556971e-05,4.2636190536017536e-05,16,400,3,8,0.826288182659673,3
300,128,3,0.0530955012311517,3.380273704712436e-05,1.6832027985721884e-08,128,600,3,2,0.8114794656110836,3
100,512,1,0.2562646731757538,0.0016136053172804803,0.00020121155449063808,32,400,7,5,0.7375220199647681,2
200,128,2,0.03088725074999361,5.650130110168194e-05,0.00034779988160923373,128,400,5,6,0.7332123411978222,1
