param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_tfidf__max_features,param_tfidf__ngram_range,val_F1,val_F1_std,rank
60,sqrt,8,8,421,20000,"(1, 1)",0.9057616411934692,0.003950706882903845,1
100,,8,5,1171,20000,"(1, 2)",,,2
40,log2,8,13,1105,10000,"(1, 2)",,,2
40,sqrt,10,13,1156,5000,"(1, 1)",,,2
100,,10,17,489,10000,"(1, 1)",,,2
20,,4,4,946,5000,"(1, 1)",,,2
60,log2,4,15,541,10000,"(1, 1)",,,2
90,sqrt,2,16,1255,20000,"(1, 2)",,,2
70,,3,15,1404,10000,"(1, 2)",,,2
30,log2,6,11,1002,10000,"(1, 2)",,,2
